id,base_id,text,sentiment,pattern_type
flip_01_plain,flip_01,bohot badhiya service h aapki,positive,flip_plain
flip_01_reinforced,flip_01,bohot badhiya service h aapki 😊,positive,flip_reinforced
flip_01_sarcasm,flip_01,bohot badhiya service h aapki 🙄,negative,flip_sarcasm
flip_02_plain,flip_02,delivery time pe ho gayi bahut accha laga,positive,flip_plain
flip_02_reinforced,flip_02,delivery time pe ho gayi bahut accha laga ❤️,positive,flip_reinforced
flip_02_sarcasm,flip_02,delivery time pe ho gayi bahut accha laga 🙃,negative,flip_sarcasm
flip_03_plain,flip_03,support team ne turant help kri thank you,positive,flip_plain
flip_03_reinforced,flip_03,support team ne turant help kri thank you 👍,positive,flip_reinforced
flip_03_sarcasm,flip_03,support team ne turant help kri thank you 😒,negative,flip_sarcasm
flip_04_plain,flip_04,app bohot smooth chal raha h ab,positive,flip_plain
flip_04_reinforced,flip_04,app bohot smooth chal raha h ab 😊,positive,flip_reinforced
flip_04_sarcasm,flip_04,app bohot smooth chal raha h ab 🙄,negative,flip_sarcasm
flip_05_plain,flip_05,refund itni jaldi mil gaya kamal h,positive,flip_plain
flip_05_reinforced,flip_05,refund itni jaldi mil gaya kamal h ❤️,positive,flip_reinforced
flip_05_sarcasm,flip_05,refund itni jaldi mil gaya kamal h 🙃,negative,flip_sarcasm
flip_06_plain,flip_06,customer care wale bohot polite the,positive,flip_plain
flip_06_reinforced,flip_06,customer care wale bohot polite the 👍,positive,flip_reinforced
flip_06_sarcasm,flip_06,customer care wale bohot polite the 😒,negative,flip_sarcasm
flip_07_plain,flip_07,order perfect condition me mila,positive,flip_plain
flip_07_reinforced,flip_07,order perfect condition me mila 😊,positive,flip_reinforced
flip_07_sarcasm,flip_07,order perfect condition me mila 🙄,negative,flip_sarcasm
flip_08_plain,flip_08,issue turant solve ho gya bohot badhiya,positive,flip_plain
flip_08_reinforced,flip_08,issue turant solve ho gya bohot badhiya ❤️,positive,flip_reinforced
flip_08_sarcasm,flip_08,issue turant solve ho gya bohot badhiya 🙃,negative,flip_sarcasm
flip_09_plain,flip_09,delivery boy bohot helpful tha,positive,flip_plain
flip_09_reinforced,flip_09,delivery boy bohot helpful tha 👍,positive,flip_reinforced
flip_09_sarcasm,flip_09,delivery boy bohot helpful tha 😒,negative,flip_sarcasm
flip_10_plain,flip_10,website use krna bohot easy h ab,positive,flip_plain
flip_10_reinforced,flip_10,website use krna bohot easy h ab 😊,positive,flip_reinforced
flip_10_sarcasm,flip_10,website use krna bohot easy h ab 🙄,negative,flip_sarcasm
flip_11_plain,flip_11,agent ne patience se sara solve kr diya,positive,flip_plain
flip_11_reinforced,flip_11,agent ne patience se sara solve kr diya ❤️,positive,flip_reinforced
flip_11_sarcasm,flip_11,agent ne patience se sara solve kr diya 🙃,negative,flip_sarcasm
flip_12_plain,flip_12,packaging bohot acchi thi is baar,positive,flip_plain
flip_12_reinforced,flip_12,packaging bohot acchi thi is baar 👍,positive,flip_reinforced
flip_12_sarcasm,flip_12,packaging bohot acchi thi is baar 😒,negative,flip_sarcasm
flip_13_plain,flip_13,app update ke baad speed kaafi badh gayi,positive,flip_plain
flip_13_reinforced,flip_13,app update ke baad speed kaafi badh gayi 😊,positive,flip_reinforced
flip_13_sarcasm,flip_13,app update ke baad speed kaafi badh gayi 🙄,negative,flip_sarcasm
flip_14_plain,flip_14,return process bohot smooth raha,positive,flip_plain
