base_id,text,domain,intent,description,base_split
order_cancel_b001,mera galti se order place ho gaya wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b002,pls please item ka plan change ho gaya; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,test
order_cancel_b003,"mujhe galti se order place ho gaya, isliye order ab nahi chahiye?",Orders,order_cancel,Cancel an existing order,validation
order_cancel_b004,"Order place ho chuka hai, par item ka plan change ho gaya; cancel kar do",Orders,order_cancel,Cancel an existing order,train
order_cancel_b005,"mujhe lagta hai, can you cancel my order? Galti se order place ho gaya",Orders,order_cancel,Cancel an existing order,train
order_cancel_b006,"bhai order cancel karna hai, item ka plan change ho gaya",Orders,order_cancel,Cancel an existing order,validation
order_cancel_b007,pls mera abhi order ki zarurat nahi hai wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,validation
order_cancel_b008,please price ab kam mil raha hai; order ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,test
order_cancel_b009,"Mujhe abhi order ki zarurat nahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,test
order_cancel_b010,"mujhe lagta hai, order place ho chuka hai, par price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,train
order_cancel_b011,can you cancel my order? Abhi order ki zarurat nahi hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b012,"pls bhai order cancel karna hai, price ab kam mil raha hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b013,mera address sahi nahi hai wala order cancel karna hai?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b014,Please delivery bahut late dikh rahi hai; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b015,"mujhe lagta hai, mujhe address sahi nahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,test
order_cancel_b016,"order place ho chuka hai, par delivery bahut late dikh rahi hai; cancel kar do",Orders,order_cancel,Cancel an existing order,test
order_cancel_b017,pls can you cancel my order? Address sahi nahi hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b018,"bhai order cancel karna hai, delivery bahut late dikh rahi hai?",Orders,order_cancel,Cancel an existing order,test
order_cancel_b019,Mera item ka plan change ho gaya wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b020,"mujhe lagta hai, please galti se order place ho gaya; order ko stop kar sakte ho?",Orders,order_cancel,Cancel an existing order,train
order_cancel_b021,"mujhe item ka plan change ho gaya, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,train
order_cancel_b022,"pls order place ho chuka hai, par galti se order place ho gaya; cancel kar do",Orders,order_cancel,Cancel an existing order,train
order_cancel_b023,can you cancel my order? Item ka plan change ho gaya?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b024,"Bhai order cancel karna hai, galti se order place ho gaya",Orders,order_cancel,Cancel an existing order,train
order_cancel_b025,"mujhe lagta hai, mera price ab kam mil raha hai wala order cancel karna hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b026,please abhi order ki zarurat nahi hai; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b027,"pls mujhe price ab kam mil raha hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,train
order_cancel_b028,"order place ho chuka hai, par abhi order ki zarurat nahi hai; cancel kar do?",Orders,order_cancel,Cancel an existing order,validation
order_cancel_b029,Can you cancel my order? price ab kam mil raha hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b030,"mujhe lagta hai, bhai order cancel karna hai, abhi order ki zarurat nahi hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b031,mera delivery bahut late dikh rahi hai; abhi order ki zarurat nahi hai wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b032,pls please address sahi nahi hai; galti se order place ho gaya; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b033,"mujhe delivery bahut late dikh rahi hai; delivery bahut late dikh rahi hai, isliye order ab nahi chahiye?",Orders,order_cancel,Cancel an existing order,train
order_cancel_b034,"Order place ho chuka hai, par address sahi nahi hai; price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,train
order_cancel_b035,"mujhe lagta hai, can you cancel my order? Delivery bahut late dikh rahi hai; item ka plan change ho gaya",Orders,order_cancel,Cancel an existing order,validation
order_cancel_b036,"bhai order cancel karna hai, address sahi nahi hai; address sahi nahi hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b037,pls mera galti se order place ho gaya; abhi order ki zarurat nahi hai wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b038,please item ka plan change ho gaya; galti se order place ho gaya; order ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,validation
order_cancel_b039,"Mujhe galti se order place ho gaya; delivery bahut late dikh rahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,train
order_cancel_b040,"mujhe lagta hai, order place ho chuka hai, par item ka plan change ho gaya; price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,train
order_cancel_b041,can you cancel my order? Galti se order place ho gaya; item ka plan change ho gaya,Orders,order_cancel,Cancel an existing order,test
order_cancel_b042,"pls bhai order cancel karna hai, item ka plan change ho gaya; address sahi nahi hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b043,mera abhi order ki zarurat nahi hai; abhi order ki zarurat nahi hai wala order cancel karna hai?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b044,Please price ab kam mil raha hai; galti se order place ho gaya; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,validation
order_cancel_b045,"mujhe lagta hai, mujhe abhi order ki zarurat nahi hai; delivery bahut late dikh rahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,train
order_cancel_b046,"order place ho chuka hai, par price ab kam mil raha hai; price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,train
order_cancel_b047,pls can you cancel my order? Abhi order ki zarurat nahi hai; item ka plan change ho gaya,Orders,order_cancel,Cancel an existing order,train
order_cancel_b048,"bhai order cancel karna hai, price ab kam mil raha hai; address sahi nahi hai?",Orders,order_cancel,Cancel an existing order,test
order_cancel_b049,Mera address sahi nahi hai; abhi order ki zarurat nahi hai wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,train
order_cancel_b050,"mujhe lagta hai, please delivery bahut late dikh rahi hai; galti se order place ho gaya; order ko stop kar sakte ho?",Orders,order_cancel,Cancel an existing order,train
order_cancel_b051,"mujhe address sahi nahi hai; delivery bahut late dikh rahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,train
order_cancel_b052,"pls order place ho chuka hai, par delivery bahut late dikh rahi hai; price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,validation
order_cancel_b053,can you cancel my order? Address sahi nahi hai; item ka plan change ho gaya?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b054,"Bhai order cancel karna hai, delivery bahut late dikh rahi hai; address sahi nahi hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b055,"mujhe lagta hai, mera item ka plan change ho gaya; abhi order ki zarurat nahi hai wala order cancel karna hai",Orders,order_cancel,Cancel an existing order,train
order_cancel_b056,please galti se order place ho gaya; galti se order place ho gaya; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,train
order_cancel_b057,"pls mujhe item ka plan change ho gaya; delivery bahut late dikh rahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,test
order_cancel_b058,"order place ho chuka hai, par galti se order place ho gaya; price ab kam mil raha hai; cancel kar do?",Orders,order_cancel,Cancel an existing order,validation
order_cancel_b059,Can you cancel my order? item ka plan change ho gaya; item ka plan change ho gaya,Orders,order_cancel,Cancel an existing order,train
